Cargo,Empresa,Local,Link
Estagiário Python (Híbrido),XEFF SISTEMAS,"Belo Horizonte, MG",https://br.indeed.com/rc/clk?jk=8172acfbc5c61cdc&bb=eiK-7fToXlHF3_0toBWS9LVSsXsNycVeOHI8ogasky_2sw92oeg3xqkPtfK_hg7U2MXBgGn9005B8biX7sm7_c6OGJVDsCe6HFhqqW4haLA%3D&xkcb=SoAK67M3DIsD9XRSah0LbzkdCdPP&fccid=eaa7324caafd6f1d&vjs=3
Python Developer Pleno,CIAL Dun & Bradstreet,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=0aa8eb38a29ac6e0&bb=eiK-7fToXlHF3_0toBWS9KgihpGfPZbzxl6MyxH2433vhXCM6ro1fOWd-lBHBmFxu4GKDbaCr-ln4fdqtkKYVkUgO8nsNf8hrwQEHXFvKso%3D&xkcb=SoC-67M3DIsD9XRSah0KbzkdCdPP&fccid=8228de18d47365fd&vjs=3
Desenvolvedor Python,LINCE,"Curitiba, PR",https://br.indeed.com/rc/clk?jk=7cc527c248779fee&bb=eiK-7fToXlHF3_0toBWS9IsBLr-M2dlg0yLCZhx687JYZog_Gklt1UODv1PuHy_nMC4wKkpsLLS8kmyONJNWUQo6e4_UMRFmcukEcDUFBm0%3D&xkcb=SoAj67M3DIsD9XRSah0JbzkdCdPP&fccid=c5cf41b73b496ff1&cmp=Lince-Inform%25C3%25A1tica&ti=Python&vjs=3
Pessoa Desenvolvedora Back-end Python - Junior [SP ou JF],Open Co,"Remoto híbrido in São Paulo, SP",https://br.indeed.com/rc/clk?jk=a179e082b3d253f3&bb=eiK-7fToXlHF3_0toBWS9F_4gdFCSvbGuXJPl0I2jH6S4WLIxgqVy3IF7e9ntTvPaTQ7PeOhWBLJtC_b-IJmn-7Ed7qyKJWg070-RE1MvIQ%3D&xkcb=SoCX67M3DIsD9XRSah0IbzkdCdPP&fccid=98d28f69e5b7c531&vjs=3
Pessoa Desenvolvedora Python - Trabalho Remoto,BairesDev,"Home office in São Gonçalo, RJ",https://br.indeed.com/rc/clk?jk=55740f590bea48f1&bb=eiK-7fToXlHF3_0toBWS9NNGYR2z1LTQdHFKUKv-jZuQBNjMkRYCk1cCMb5nffkWq_yHvN1yuq3KQjCJFx-3_oeezR6W-AsP2aFEM45_F4A%3D&xkcb=SoAZ67M3DIsD9XRSah0PbzkdCdPP&fccid=29707109e86166e5&vjs=3
"Software Engineer, Early Career, Campus",Google,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=485e8a2f38bf6ceb&bb=eiK-7fToXlHF3_0toBWS9NHLCi-mZYgI5sQKX3iZyeODMV6bg3l0mACuV1s5p0Qsxf-IwOZsUrl4hT5VAsQq1nZbSS4Sq6uDEZisUj4AoGI%3D&xkcb=SoCt67M3DIsD9XRSah0ObzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
Python Developer,Mollica IT,,https://br.indeed.com/rc/clk?jk=902b37f7e5d0f98e&bb=eiK-7fToXlHF3_0toBWS9Km0I-EnmDJ_Qk-znYeBYbK-g5Rf1awIgDGwIBJxlz26B0_8g4N5xrtaP3Mt87WBtERT1KwGz3EFJUjodFE_S28%3D&xkcb=SoAw67M3DIsD9XRSah0NbzkdCdPP&fccid=84b376a38f4ec9c0&vjs=3
Desenvolvedor/a - Junior,EY,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=2968c52e23810b86&bb=eiK-7fToXlHF3_0toBWS9OeuDVtbyCwzqtZbclKd68fmk1EgmkF1hd6Y-i7l1dwV5UOXQ6n26DN62gGC_9UyiwTN9f5aW_oG-sH3iAQ5hhg%3D&xkcb=SoCE67M3DIsD9XRSah0MbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
Junior Python Backend Developer / R + D - Remote Work,BairesDev,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=e584562a7bd71a63&bb=eiK-7fToXlHF3_0toBWS9JJjgbEuKSX2PcXDzjB0pXNkoFZBUf8PXBUIID0IP6FQ3USobshY3WesZd4vNK0pyFj0FuqSf0YNukmAy8J16NQ%3D&xkcb=SoBt67M3DIsD9XRSah0DbzkdCdPP&fccid=29707109e86166e5&vjs=3
Full Stack Developer (Python),TIVIT,,https://br.indeed.com/rc/clk?jk=4fec20fdde0efcf7&bb=eiK-7fToXlHF3_0toBWS9CIoXeNUuXPniGq6EvYH19RoLCNdVjZRAmtzafwWWWL27Pwr3bRNr27qbRflA05YAGljqoBGLkvbuJt_k4vyGGc%3D&xkcb=SoDZ67M3DIsD9XRSah0CbzkdCdPP&fccid=8b09d9e4df1069db&vjs=3
